	Corynebacterium	Adlercreutzia	Bacteroides	Parabacteroides	Enterococcus	Staphylococcus	Clostridium_sensu_stricto_1	Frisingicoccus	GCA-900066575	Lachnoclostridium	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG-006	Marvinbryantia	Roseburia	[Eubacterium]_ventriosum_group	[Eubacterium]_xylanophilum_group	Colidextribacter	[Eubacterium]_coprostanoligenes_group	Escherichia-Shigella	Group
C.40	0.061190148	0.520116261	4.038549793	0.535413798	0.030595074	0.305950742	31.4211412	0.198867982	0.137677834	0.336545816	2.47820101	0.168272908	0.321248279	0.321248279	0.198867982	1.254398042	0.764876855	0.596603947	0.061190148	low_dose
C.49	0.243393602	0.104311544	13.10848401	1.877607789	0	0.278164117	5.945757997	0.139082058	0.243393602	0.521557719	6.258692629	0.104311544	0.625869263	0.243393602	0.173852573	1.147426982	0.90403338	0.973574409	0.069541029	high_dose
C.54	0.399529965	0.44653349	31.13983549	4.958871915	0.235017626	0.258519389	4.277320799	2.514688602	0.587544066	1.034077556	7.896592244	0.070505288	0.376028202	4.065804935	0.188014101	1.175088132	1.504112808	0.963572268	0.164512338	low_dose
C.61	0.530367836	0.359281437	12.28400342	1.454234388	0.119760479	0.359281437	10.28229256	0.752780154	0.427715997	0.564585115	11.34302823	0.05132592	0.530367836	0.530367836	0.153977759	1.385799829	1.591103507	1.317365269	0.530367836	low_dose
C.76	0.79989154	0.067787419	18.34327549	5.056941432	0.027114967	0.189804772	12.079718	1.165943601	0.257592191	0.447396963	3.85032538	0.094902386	0.90835141	0.515184382	0.244034707	0.962581345	0.32537961	0.528741866	0.962581345	high_dose
C.62	0.577557756	0.440044004	27.58525853	5.390539054	0.082508251	0.467546755	5.363036304	1.595159516	0.550055006	0.577557756	4.482948295	0.110011001	0.137513751	0.330033003	0.412541254	0.192519252	1.457645765	1.842684268	0.495049505	high_dose
C.81	0.618945102	0.538213132	20.96340151	3.256189451	0.24219591	0.753498385	4.278794403	1.210979548	0.296017223	2.395048439	7.615715823	0.322927879	0.753498385	2.529601722	0.834230355	13.56297094	0.968783638	0.995694295	0.134553283	high_dose
C.67	0.448143406	0.064020487	21.03072983	1.696542894	0.09603073	0.544174136	5.281690141	0.224071703	1.216389245	0.352112676	4.225352113	0.160051216	0.352112676	0.224071703	0.224071703	0.256081946	0.800256082	1.76056338	0.09603073	high_dose
C.70	0	0.090620752	29.95015859	5.527865881	0	0.181241504	2.265518804	0.407793385	0.362483009	1.314000906	7.748074309	0.181241504	1.903035795	0.181241504	0.634345265	0.317172633	1.04213865	3.851381966	0.181241504	high_dose
C.74	0.080927974	0.269759914	26.27461559	1.753439439	0.053951983	0.080927974	7.040733747	2.589695171	0.620447801	1.37577556	7.526301592	0.107903965	0.755327758	0.296735905	0.215807931	0.18883194	1.052063663	1.564607499	0.404639871	high_dose
